pattern,horizon_days,period,observations,mean_return,median_return,win_rate,p10,p90,net_mean_vs_hurdle
range_expansion_reversal,5,validation,1084,0.017469002951880714,0.018587599141387856,0.6042435424354243,-0.05854490277978066,0.09489605612810577,0.0072466871624070305
momentum_60_uptrend,10,discovery,149094,0.003709296550554574,-0.003984182920898471,0.4366439964049526,-0.09790209148954843,0.10169492381566325,-0.006513019238919109
momentum_60_uptrend,10,validation,54955,0.004234792085652658,0.0,0.46416158675279773,-0.08163267093517013,0.08969017656408362,-0.005987523703821026
slow_momentum_12_1,10,discovery,156785,0.0029547643457747833,-0.0010470542952680795,0.4443090856905954,-0.08791213253819419,0.08888891008165145,-0.0072675514436989
slow_momentum_12_1,10,validation,64096,0.003792248127072463,0.0,0.4724943834248627,-0.07407413648103028,0.080752782515503,-0.00643006766240122
pullback_in_uptrend,10,discovery,24443,0.002729296139014934,0.0,0.4518676103587939,-0.09812736795712079,0.10143914730605236,-0.007493019650458749
pullback_in_uptrend,10,validation,8281,0.00021600491794028552,0.0,0.4703538220021736,-0.08982034731306177,0.08823532849172189,-0.010006310871533398
reversal_bottom10,10,discovery,13563,-0.0019317229884382476,-0.0034364227382496226,0.43817739438177394,-0.13281248038401822,0.11601520501111366,-0.012154038777911932
reversal_bottom10,10,validation,5434,-0.0013852819997326865,0.0,0.4676113360323887,-0.09756097797361274,0.0918487206338756,-0.01160759778920637
panic_reversal_volume,10,discovery,1588,-0.02224752260150241,-0.02465522577084933,0.3879093198992443,-0.19780335543481362,0.14285712461082378,-0.03246983839097609
panic_reversal_volume,10,validation,494,0.009679330425111115,0.01201297568913573,0.5506072874493927,-0.10000002384185791,0.12692876004575834,-0.0005429853643625689
relative_reversal_bottom20,10,discovery,21515,0.0027588858941400758,0.0,0.4481059725772717,-0.10526314374246704,0.10804093373808088,-0.007463429895333608
relative_reversal_bottom20,10,validation,7629,-0.00015194976920576,0.0,0.458382487875213,-0.0901762681465768,0.09327804930717319,-0.010374265558679444
breakout_plus_volume,10,discovery,19546,-0.0008820094524608215,-0.01162800877060055,0.4028957331423309,-0.11818181128541327,0.11268234353454609,-0.011104325241934505
breakout_plus_volume,10,validation,6676,0.004089566646720927,-0.0059435440521136695,0.43918514080287596,-0.09259259429597144,0.10333705507603108,-0.0061327491427527565
