pattern,observations,mean_return,net_mean,win_rate,horizon_days,period
momentum_20_3_ma100,84418,0.008639002226626976,-0.0015833135628467079,0.4310455116207444,20,development
momentum_20_3_ma100,32804,-0.0023800788251845373,-0.012602394614658221,0.4176319960980368,20,selection
momentum_20_3_ma100,43155,0.012259709638328736,0.0020373938488550524,0.4682423821109952,20,holdout
momentum_20_3_ma100,84441,0.016688046532398707,0.006465730742925023,0.42886749327933116,40,development
momentum_20_3_ma100,32804,-0.002028878268597245,-0.012251194058070928,0.42827094256797954,40,selection
momentum_20_3_ma100,43007,0.01422128364430653,0.003998967854832846,0.4476713093217383,40,holdout
momentum_20_3_ma200,72842,0.003336897075730969,-0.006885418713742715,0.4263611652617995,5,development
momentum_20_3_ma200,28709,0.0004796050806659652,-0.009742710708807719,0.43059667700024384,5,selection
momentum_20_3_ma200,39555,0.003402390229872256,-0.006819925559601427,0.46049804070281886,5,holdout
momentum_20_3_ma200,72824,0.007036761422912408,-0.0031855543665612754,0.433332417884214,10,development
momentum_20_3_ma200,28709,0.0009365256496009889,-0.009285790139872695,0.4307011738479223,10,selection
momentum_20_3_ma200,39568,0.006635462394497226,-0.003586853394976458,0.47288212697128995,10,holdout
momentum_20_3_ma200,72811,0.011492789850656387,0.0012704740611827036,0.4377223221765942,20,development
momentum_20_3_ma200,28709,-0.0005480006938109185,-0.010770316483284602,0.4280887526559615,20,selection
momentum_20_3_ma200,39567,0.011780917630313931,0.0015586018408402479,0.47206005004170143,20,holdout
momentum_20_3_ma200,72831,0.022790085595189986,0.012567769805716302,0.43872801416979035,40,development
momentum_20_3_ma200,28709,0.0008100174628338275,-0.009412298326639855,0.43714514612142535,40,selection
momentum_20_3_ma200,39432,0.015513767410275464,0.005291451620801781,0.4519679448163928,40,holdout
momentum_20_5_ma100,70354,0.0021103395894009687,-0.008111976200072715,0.4182846746453649,5,development
momentum_20_5_ma100,26418,-0.0007476231644092101,-0.010969938953882893,0.419600272541449,5,selection
momentum_20_5_ma100,34719,0.0035678465094450477,-0.006654469280028635,0.4587113684149889,5,holdout
momentum_20_5_ma100,70333,0.005328493126208807,-0.004893822663264876,0.42520580666259084,10,development
momentum_20_5_ma100,26418,-0.0008689380683137475,-0.01109125385778743,0.41596638655462187,10,selection
momentum_20_5_ma100,34733,0.006726806266612608,-0.0034955095228610756,0.46975498805170873,10,holdout
momentum_20_5_ma100,70323,0.008819414338700421,-0.0014029014507732623,0.42903459750010664,20,development
momentum_20_5_ma100,26418,-0.0034883075811509433,-0.013710623370624626,0.4102884397002044,20,selection
momentum_20_5_ma100,34744,0.01267231657089396,0.0024500007814202765,0.46609486530048355,20,holdout
momentum_20_5_ma100,70350,0.018052886520088626,0.007830570730614942,0.4274911158493248,40,development
momentum_20_5_ma100,26418,-0.003671783443652018,-0.013894099233125701,0.42213642213642216,40,selection
momentum_20_5_ma100,34622,0.012653289477264688,0.002430973687791004,0.4428398128357692,40,holdout
momentum_20_5_ma200,60558,0.003088568434647083,-0.007133747354826601,0.4232801611678061,5,development
momentum_20_5_ma200,23109,0.00012228477564749178,-0.010100031013826193,0.42805833225150375,5,selection
momentum_20_5_ma200,31659,0.0036808412224676873,-0.006541474567005996,0.4608484159322783,5,holdout
momentum_20_5_ma200,60544,0.007112757419309494,-0.0031095583701641893,0.4320989693446089,10,development
momentum_20_5_ma200,23109,0.0007480835874507521,-0.009474232202022932,0.4258513998874897,10,selection
momentum_20_5_ma200,31671,0.006987029738409104,-0.003235286051064579,0.473240503931041,10,holdout
momentum_20_5_ma200,60529,0.011720222499141626,0.0014979067096679427,0.4365841167043896,20,development
momentum_20_5_ma200,23109,-0.001319635050874841,-0.011541950840348524,0.42234627201523217,20,selection
momentum_20_5_ma200,31676,0.012104540211968051,0.0018822244224943677,0.4698825609294103,20,holdout
momentum_20_5_ma200,60555,0.024277618475593434,0.01405530268611975,0.4378003467921724,40,development
momentum_20_5_ma200,23109,-0.0003324574463924588,-0.010554773235866143,0.43216928469427496,40,selection
momentum_20_5_ma200,31567,0.013828199588852718,0.003605883799379034,0.4456552729115849,40,holdout
momentum_20_10_ma100,45940,0.0019371329715488334,-0.00828518281792485,0.4133217239878102,5,development
momentum_20_10_ma100,15581,-0.0013728820921063865,-0.011595197881580071,0.4168538604710866,5,selection
momentum_20_10_ma100,20198,0.003682599910487425,-0.0065397158789862585,0.45261907119516787,5,holdout
momentum_20_10_ma100,45926,0.00538025870352106,-0.004842057085952624,0.4218525453991203,10,development
momentum_20_10_ma100,15581,-0.002143466969380769,-0.012365782758854452,0.40928053398369807,10,selection
momentum_20_10_ma100,20209,0.007644457027631793,-0.0025778587618418905,0.46672274729081104,10,holdout
momentum_20_10_ma100,45928,0.009098431014920609,-0.0011238847745530748,0.4225309179585438,20,development
momentum_20_10_ma100,15581,-0.00671264170472303,-0.016934957494196712,0.4060073166035556,20,selection
momentum_20_10_ma100,20214,0.014286714981398293,0.00406439919192461,0.46428218066686455,20,holdout
momentum_20_10_ma100,45945,0.02235712447344274,0.012134808683969055,0.42122102513875287,40,development
momentum_20_10_ma100,15581,-0.006841277044638728,-0.017063592834112414,0.41948527052178936,40,selection
momentum_20_10_ma100,20133,0.00952464804505521,-0.0006976677444184738,0.434659514230368,40,holdout
